gene,C,Chondrocytes,EC-Arteriar,EC-Arteriolar,EC-Sinusoidal,Fibroblasts,MSPC-Adipo,MSPC-Osteo,Myofibroblasts,Osteo,Osteoblasts,Pericytes,Schwann-cells,Smooth-muscle
Calml3,0,0.952,0.005,0.003,0.006,0.016,0.006,0.026,0.005,0.055,0.036,0.015,0.044,0
Calml4,0.224,0.062,0.152,0.349,0.264,0.127,0.022,0.031,0.092,0.158,0.034,0.125,0,0
Caln1,0,0.001,0,0.003,0,0,0.002,0.016,0,0.026,0,0,0,0
Calr,3.779,6.303,3.156,4.488,5.687,5.917,7.377,7.354,3.658,6.807,2.526,3.189,2.531,1.622
Calr3,0,0.021,0.011,0.004,0.012,0.008,0.011,0.008,0.013,0.007,0.006,0,0,0
Calr4,0.033,0,0,0.001,0.006,0.001,0.029,0.016,0,0,0,0,0,0
Calu,1.906,2.205,1.335,1.228,1.119,1.92,2.166,1.929,1.159,2.832,1.942,1.617,0.283,1.083
Caly,0,0.001,0,0.001,0,0,0,0,0,0.004,0,0,0,0
Camk1,0.432,0.835,0.635,1.284,0.5,1.166,0.855,0.828,0.997,1.048,0.573,1.783,0.619,2.998
Camk1d,0.007,0.258,0.003,0.007,0.007,0.513,0.008,0.021,0.018,0.428,0.017,0.008,0,0
Camk1g,0,0,0,0,0,0.001,0.002,0.006,0,0,0,0.027,0,0
Camk2a,0,0.002,0,0,0.001,0.004,0.006,0.009,0,0.011,0.055,0,0,0
Camk2b,0.005,0.185,0.031,0.031,0.01,0.213,0.014,0.024,0,0.097,0.052,0.027,0.01,0
Camk2d,0.629,0.657,1.335,1.208,0.706,0.326,1.146,0.71,0.229,0.769,0.444,1.652,0.07,1.416
Camk2g,0.173,0.151,0.41,0.31,0.27,0.175,0.383,0.302,0.214,0.226,0.125,1.132,0.085,1.14
Camk2n1,0.323,0.604,0.693,0.496,0.446,1.266,1.445,0.866,1.199,1.108,0.323,1.571,0.274,1.312
Camk2n2,0.194,0.061,0.032,0.036,0.036,0.072,0.033,0.033,0.076,0.039,0.04,0.03,0.023,0
Camk4,0.086,0.532,0.046,0.037,0.006,0.317,0.031,0.089,0.019,0.809,0.005,0.015,0,0.193
Camkk1,0.029,0.053,0.036,0.01,0.007,0.288,0.005,0.012,0,0.107,0.019,0.033,0.008,0
Camkk2,0.323,0.405,0.184,0.352,0.155,0.423,0.48,0.362,0.191,0.479,0.141,0.176,0.048,0.147
Camkmt,0.007,0.013,0.021,0.022,0.008,0.013,0.025,0.03,0.017,0.011,0.006,0.008,0.012,0
Caml,0.345,0.25,0.479,0.43,0.365,0.276,0.349,0.357,0.331,0.325,0.192,0.334,0.543,0.336
Camp,0.129,0.319,0.249,0.267,0.211,0.23,0.186,0.134,0,0.197,0.083,0.347,0,0
Camsap1,0.102,0.139,0.131,0.146,0.152,0.168,0.154,0.149,0.032,0.151,0.058,0.229,0.076,0
Camsap2,0.306,0.219,0.321,0.254,0.279,0.22,0.179,0.21,0.083,0.208,0.201,0.174,0.068,0
Camsap3,0.034,0.014,0,0.034,0.019,0.008,0.06,0.043,0.005,0.013,0.003,0.055,0,0
Camta1,0.621,0.461,0.658,0.618,0.492,0.604,0.547,0.423,0.94,0.533,0.266,0.857,0.563,1.119
Camta2,0.069,0.107,0.169,0.151,0.211,0.114,0.209,0.143,0.062,0.134,0.068,0.302,0.074,0.154
Cand1,0.371,0.247,0.243,0.194,0.269,0.232,0.216,0.219,0.247,0.235,0.189,0.283,0.209,0.136
Cand2,0.075,0.034,0.029,0.031,0.017,0.013,0.02,0.013,0.019,0.011,0.003,0.028,0,0
Cant1,0.17,0.332,0.307,0.391,0.332,0.365,0.435,0.322,0.123,0.283,0.142,0.422,0.322,0.11
Canx,3.345,2.109,1.864,2.12,2.645,2.155,2.394,2.365,1.429,2.301,1.314,1.53,2.354,0.865
Cap1,0.336,0.105,0.427,0.334,0.21,0.326,0.189,0.267,0.201,0.247,0.13,0.525,0.436,1.133
Cap2,0,0.009,0,0.006,0.003,0.006,0.002,0.002,0.107,0.019,0.007,0.596,0,1.612
Capg,0.308,1.282,3.014,0.95,0.176,4.372,0.085,0.336,1.416,2.714,0.233,0.926,0.057,0.423
Capn1,0.052,0.078,0.219,0.21,0.188,0.206,0.125,0.073,0.1,0.127,0.054,0.253,0.017,0
Capn10,0.047,0.108,0.053,0.064,0.046,0.116,0.108,0.107,0.055,0.074,0.061,0.07,0.151,0
Capn11,0,0.002,0,0.002,0.011,0.001,0.002,0.002,0,0,0,0.026,0.014,0
Capn12,0,0.007,0.004,0.038,0.034,0.01,0.006,0.007,0.033,0.014,0.001,0.027,0,0.189
Capn15,0.086,0.068,0.058,0.108,0.093,0.051,0.085,0.081,0.042,0.069,0.029,0.05,0.085,0
Capn2,0.482,1.21,1.651,1.72,0.588,1.604,0.768,0.582,1.192,1.279,0.489,1.293,0.416,0.885
Capn3,0.084,0.011,0.015,0.028,0.089,0.005,0.004,0.012,0,0.009,0.035,0.048,0,0
Capn5,0.04,0.027,0.096,0.141,0.015,0.078,0.051,0.025,0.086,0.099,0.006,0.038,0.054,0
Capn6,0,0.693,0.007,0.005,0,0.039,0.004,0.017,0.163,0.17,0,0.018,0,0
Capn7,0.141,0.198,0.172,0.163,0.125,0.225,0.165,0.174,0.187,0.205,0.12,0.11,0.087,0
Capn9,0.019,0.009,0,0.002,0.003,0.002,0.01,0.005,0,0.003,0.006,0,0.02,0
Capns1,2.258,2.874,4.483,3.957,3.157,4.227,2.931,2.586,6.314,3.482,1.482,3.711,4.538,5.325
Capns2,0,0.004,0.007,0.001,0,0.009,0,0,0,0.045,0.002,0,0,0
Caprin1,1.146,0.697,0.99,1.129,1.037,0.551,0.714,0.785,0.518,0.598,0.47,0.873,0.327,0.681
Caprin2,0.187,0.074,0.017,0.086,0.151,0.034,0.108,0.082,0.08,0.041,0.04,0.122,0.055,0
Capsl,0,0.002,0.012,0.002,0.001,0.002,0.004,0.002,0.027,0.001,0.002,0.004,0.01,0
Capza1,0.841,0.454,0.621,0.854,0.699,0.375,0.456,0.458,0.45,0.464,0.319,0.449,0.299,0.647
Capza2,1.873,1.15,2.845,2.231,1.694,1.797,1.755,1.45,1.901,1.772,0.887,2.371,1.795,2.125
Capzb,1.744,1.434,3.601,3.399,2.558,3.228,1.675,2.054,1.312,2.923,1.144,3.364,1.893,3.079
Car1,0.102,0.254,0.219,0.183,0.115,0.124,0.142,0.105,0,0.1,0.08,0.106,0.021,0
Car11,0,0.051,0,0.007,0.002,0.101,0.04,0.047,0.124,0.111,0.04,0.133,0.212,0.383
Car12,0.005,0.875,0,0.017,0.007,0.013,0.008,0.026,0.176,0.022,0.755,0.063,0.013,0
Car13,0.169,0.015,0.006,0.018,0.039,0.031,0.116,0.066,0.035,0.032,0.023,0.011,0.059,0
Car14,0,0.001,0.042,0.001,0.002,0.004,0.004,0,0,0,0,0,4.113,0
Car2,0.716,0.462,0.384,0.584,1.616,0.3,0.487,0.62,0.07,0.181,0.408,0.703,57.778,0.684
Car3,1.52,0.01,0.079,0.027,0.056,0.012,0.103,5.956,0.087,0.436,17.171,0.042,0.01,0
